"timestamp","solar","powerProduction"
2020-10-01 00:00:00,"Solar0",35.88195
2020-10-01 00:15:00,"Solar0",36.8954
2020-10-01 00:30:00,"Solar0",37.52435
2020-10-01 00:45:00,"Solar0",37.40695
2020-10-01 01:00:00,"Solar0",37.86445
2020-10-01 01:15:00,"Solar0",37.7312
2020-10-01 01:30:00,"Solar0",37.64695
2020-10-01 01:45:00,"Solar0",38.04705
2020-10-01 02:00:00,"Solar0",37.0985
2020-10-01 02:15:00,"Solar0",35.1481
2020-10-01 02:30:00,"Solar0",34.26655
2020-10-01 02:45:00,"Solar0",33.94595
2020-10-01 03:00:00,"Solar0",33.8729
2020-10-01 03:15:00,"Solar0",33.42085
2020-10-01 03:30:00,"Solar0",34.26145
2020-10-01 03:45:00,"Solar0",35.2484
2020-10-01 04:00:00,"Solar0",33.1571000000001
2020-10-01 04:15:00,"Solar0",31.8029
2020-10-01 04:30:00,"Solar0",31.60115
2020-10-01 04:45:00,"Solar0",31.0961
2020-10-01 05:00:00,"Solar0",28.09975
2020-10-01 05:15:00,"Solar0",25.51235
2020-10-01 05:30:00,"Solar0",24.0468
2020-10-01 05:45:00,"Solar0",22.48245
2020-10-01 06:00:00,"Solar0",19.81255
2020-10-01 06:15:00,"Solar0",17.50715
2020-10-01 06:30:00,"Solar0",13.04965
2020-10-01 06:45:00,"Solar0",9.40914999999999
2020-10-01 07:00:00,"Solar0",6.00075
2020-10-01 07:15:00,"Solar0",4.66455
2020-10-01 07:30:00,"Solar0",2.3266
2020-10-01 07:45:00,"Solar0",1.3066
2020-10-01 08:00:00,"Solar0",1.045
2020-10-01 08:15:00,"Solar0",0.64845
2020-10-01 08:30:00,"Solar0",0.0642999999999999
2020-10-01 08:45:00,"Solar0",0.0104
2020-10-01 09:00:00,"Solar0",0.0108999999999999
2020-10-01 09:15:00,"Solar0",0.00999999999999992
2020-10-01 09:30:00,"Solar0",0.00999999999999991
2020-10-01 09:45:00,"Solar0",0.00999999999999988
2020-10-01 10:00:00,"Solar0",0.00999999999999987
2020-10-01 10:15:00,"Solar0",0.00999999999999984
2020-10-01 10:30:00,"Solar0",0.00999999999999984
2020-10-01 10:45:00,"Solar0",0.00999999999999984
2020-10-01 11:00:00,"Solar0",0.00999999999999984
2020-10-01 11:15:00,"Solar0",0.00999999999999986
2020-10-01 11:30:00,"Solar0",0.0100499999999999
