Building0,Building1,Building3,Building4,Building5,Building6,Solar0,Solar1,Solar2,Solar3,Solar4,Solar5
56.11599999999996,16.8275,534.855,1.2,28.52,36.401000000000046,35.88195000000001,9.902550000000002,8.999550000000005,8.201999999999995,4.679499999999997,30.72659999999999
47.663999999999994,3.8345000000000016,574.35,1.13,29.24,36.91200000000004,36.895399999999995,10.428999999999995,9.545900000000003,8.796799999999992,4.44625,32.08114999999998
37.531000000000034,8.021999999999993,580.66,1.145,25.555,36.32800000000004,37.52435,10.485349999999999,9.617200000000008,8.89049999999999,4.2236499999999975,32.180400000000006
34.94499999999998,12.3675,561.545,1.225,28.965,36.28400000000001,37.40694999999997,10.10419999999999,9.738200000000015,8.97589999999999,4.167649999999998,32.34865
34.97249999999999,18.268500000000014,610.11,1.145,30.06,36.66300000000001,37.86444999999997,9.831149999999997,9.700300000000006,8.821349999999994,3.806649999999999,31.94410000000002
17.066499999999976,3.9474999999999962,626.62,1.2,28.69,35.76100000000001,37.73119999999999,10.013549999999992,9.728650000000005,8.76124999999999,3.6872500000000024,31.885749999999998
14.59849999999998,8.285500000000006,592.175,1.215,29.16,34.37099999999999,37.64694999999998,9.993499999999992,9.900300000000009,8.787349999999993,5.480550000000002,31.89179999999999
14.744499999999984,12.484999999999998,572.545,1.195,29.645,34.268999999999984,38.04704999999999,9.387649999999999,10.242550000000008,9.16679999999999,5.174450000000002,30.807700000000004
16.070999999999984,18.65449999999999,591.535,1.215,26.05,33.937000000000005,37.09849999999999,9.360149999999997,10.038200000000003,9.077549999999992,5.235049999999998,30.30159999999999
13.359499999999983,4.856999999999999,577.63,1.095,29.305,35.09200000000002,35.1481,8.97125,9.322250000000007,8.688199999999997,4.8271999999999995,29.296549999999993
12.690499999999975,9.631999999999993,602.35,1.05,26.37,35.76700000000003,34.266549999999995,8.704399999999998,9.043950000000002,8.445949999999998,4.813849999999999,27.927049999999994
15.938999999999988,13.575999999999997,587.935,1.03,30.175,36.433000000000014,33.94595000000001,8.887499999999996,9.020000000000005,8.490199999999998,4.48065,28.071400000000004
18.096000000000018,21.002000000000006,528.275,1.055,27.3,37.496999999999964,33.87290000000003,8.912750000000003,8.92320000000001,8.510600000000002,4.328300000000002,27.86099999999998
18.857500000000005,4.228500000000002,547.165,1.055,27.875,37.214999999999996,33.42085000000004,8.790650000000001,8.932300000000009,8.3417,4.362500000000001,27.92764999999997
19.5955,9.65699999999999,571.695,1.005,27.495,37.24699999999999,34.26145000000001,8.860999999999999,9.157250000000017,8.427300000000008,5.2285,28.444099999999985
25.49649999999999,14.326999999999993,700.315,1.07,26.07,37.54400000000001,35.24840000000002,9.081399999999995,9.713950000000015,8.729500000000003,5.399849999999999,27.465949999999992
